index,Hit_number,level_0,eval,bitscore,%ID,genus,species,hit_def,align_len,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_11,3,4537,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium pseudogoniaulax strain OF2AUG09 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_12,1,54,1.08476e-56,254,100.0,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,"Pseudo-nitzschia fraudulenta strain UNC1413 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta
ASV_13,14,83,6.92079e-53,240,100.0,Gyrodinium,Gyrodinium rubrum,"Gyrodinium rubrum gene for 18S rRNA, partial sequence",120,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_14,8,1353,1.69838e-54,247,99.21,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB535_M15_META_H_46_S",126,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_15,1,138,3.74457e-56,252,100.0,Prorocentrum,Prorocentrum triestinum,"Prorocentrum triestinum 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum
ASV_16,1,6894,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6000.058 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unassigned,unassigned,unassigned
ASV_17,1,6923,2.63521e-58,260,100.0,genus_unassigned,species_unassigned,"Thysanopoda pectinata voucher E78 small subunit ribosomal RNA gene, partial sequence",130,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_18,1,241,8.24796e-52,237,97.62,Protoperidinium,Protoperidinium crassipes,Protoperidinium crassipes gene for 18S rRNA,126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium crassipes
ASV_19,1,7008,3.07916e-19,116,80.77,genus_unassigned,species_unassigned,"Acartia omorii 18S ribosomal RNA gene, partial sequence",130,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_20,1,299,1.08476e-56,254,100.0,Pseudo-nitzschia,Pseudo-nitzschia australis,"Pseudo-nitzschia australis isolate 10249 10AB 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia australis
ASV_21,1,7087,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Parvodinium trawinskii strain GeoM*753 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_22,1,7122,1.93973e-53,242,98.41,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH573 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_23,1,7165,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone 10D10P17 small subunit ribosomal RNA gene, partial sequence",126,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_24,1,1504,1.29246e-55,250,100.0,Not_Found,phototrophic eukaryote,"Uncultured phototrophic eukaryote clone HE000803.72 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote
ASV_25,1,4914,1.08476e-56,254,100.0,Thalassiosira,species_unassigned,"Thalassiosira sp. strain UNC1404 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_26,1,7266,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Micromonas sp. HM4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",129,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_27,1,4965,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium tamarense clone NWFSC\419-4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_28,1,530,1.08476e-56,254,100.0,Spiniferites,Spiniferites ramosus,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",127,Eukaryota,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus
ASV_29,1,5023,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium fundyense strain CCMP 1719 subclone 1719_4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_30,1,7420,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured stramenopile clone 897st19-43 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_31,11,623,1.93973e-53,242,98.41,Proterythropsis,Proterythropsis sp. BSL-2009a,"Proterythropsis sp. BSL-2009a isolate UBC2 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a
ASV_32,12,5115,7.63031e-59,262,100.0,Phaeocystis,species_unassigned,"Phaeocystis antarctica strain MM-E1B6 18S ribosomal RNA gene, partial sequence >gi|359719452|gb|JN381494.1| Phaeocystis antarctica strain MM-E4B4 18S ribosomal RNA gene, partial sequence >gi|359719453|gb|JN381495.1| Phaeocystis antarctica strain MM-E2C1 18S ribosomal RNA gene, partial sequence",131,Eukaryota,unknown,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_33,21,5140,1.60992e-54,247,99.21,Paracalanus,species_unassigned,"Paracalanus sp. Roadstead of Brest isolate OP_Brest_3 18S ribosomal RNA gene, partial sequence",126,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_34,1,7566,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Bathycoccus prasinos ribosomal RNA EukSSU (n/a) (rRNA_EukSSU), rRNA",129,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_35,1,748,5.20503e-48,222,95.24,Protoperidinium,Protoperidinium crassipes,Protoperidinium crassipes gene for 18S rRNA,126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_36,1,7646,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Biecheleria sp. NR-2014 strain CCVIEO DTZ1 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_37,1,7680,2.4152e-20,120,80.49,genus_unassigned,species_unassigned,"Acartia tonsa isolate ATON_BI_5 18S ribosomal RNA gene, partial sequence >gi|932355540|gb|KP768153.1| Acartia tonsa isolate ATON_BI_6 18S ribosomal RNA gene, partial sequence >gi|932355541|gb|KP768154.1| Acartia tonsa isolate ATON_BI_8 18S ribosomal RNA gene, partial sequence",123,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_38,1,7718,1.35055e-55,250,100.0,genus_unassigned,species_unassigned,"Stramenopiles sp. isolate BH56_25 small subunit ribosomal RNA gene, partial sequence",125,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_39,1,5280,1.62761e-54,246,98.44,Protaspis,species_unassigned,"Protaspis sp. CC-2009c small subunit ribosomal RNA gene, partial sequence",128,Eukaryota,Cercozoa,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,unassigned
ASV_40,1,5313,9.09993e-58,258,100.0,Micromonas,species_unassigned,"Micromonas sp. HM6 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",129,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unassigned
ASV_41,1,5349,2.38934e-52,239,97.64,Temora,species_unassigned,"Temora stylifera isolate OP_Brest_7 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,unassigned
ASV_42,9,1771,3.74457e-56,252,100.0,Not_Found,Dinophyceae sp. UDMS0803,"Dinophyceae sp. UDMS0803 partial 18S rRNA gene, isolate UDMS0803",126,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803
ASV_43,1,7912,1.83197e-53,242,100.0,genus_unassigned,species_unassigned,"Strombidium sp. FG-2015d voucher LWW09052702 small subunit ribosomal RNA gene, partial sequence",121,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_44,1,7954,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Rhincalanus nasutus 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_45,1,1039,3.14203e-57,256,100.0,Euterpina,Euterpina acutifrons,"Euterpina acutifrons isolate OP_Brest_11 18S ribosomal RNA gene, partial sequence",128,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons
ASV_46,1,8051,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6060.119 18S ribosomal RNA gene, partial sequence",125,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_47,5,1814,2.04986e-40,195,91.2,Not_Found,eukaryote clone OLI11055,eukaryote clone OLI11055 18S rRNA gene,125,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_48,7,1817,2.00616e-34,173,86.82,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_138, clone 1804H10",129,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_49,1,5476,3.74457e-56,252,100.0,Scrippsiella,species_unassigned,"Scrippsiella sp. HJJ-2018a strain SMMS0908 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_50,1,8102,1.09553e-43,206,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone Otu0647 small subunit ribosomal RNA gene, partial sequence",103,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_51,1,8107,1.00481e-50,233,97.62,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8360.033 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_52,1,1112,3.74457e-56,252,100.0,Polykrikos,Polykrikos kofoidii,"Polykrikos kofoidii isolate 2 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos kofoidii
ASV_53,1,5481,1.46969e-35,176,91.3,Plagiocampa,species_unassigned,"Plagiocampa sp. isolate BH56_220 small subunit ribosomal RNA gene, partial sequence",115,Eukaryota,Ciliophora,Prostomatea,Prorodontida,Plagiocampidae,g_,s_
ASV_54,1,8119,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH891 18S ribosomal RNA gene, partial sequence",126,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_55,8,1125,3.74457e-56,252,100.0,Lepidodinium,Lepidodinium viride,"Lepidodinium viride clone 3929 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium viride
ASV_56,1,8126,6.69511e-53,240,98.4,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH451 18S ribosomal RNA gene, partial sequence",125,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_57,1,8130,1.50065e-75,324,100.0,genus_unassigned,species_unassigned,"Lebbeus shinkaiae 18S ribosomal RNA gene, partial sequence",162,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned
ASV_58,1,1141,1.60992e-54,246,100.0,Rhizosolenia,Rhizosolenia setigera,"Rhizosolenia setigera isolate BH56_158 small subunit ribosomal RNA gene, partial sequence",123,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
ASV_59,1,5488,3.74457e-56,252,100.0,Gymnodinium,species_unassigned,"Gymnodinium sp. GSSW10 genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, strain GSSW10",126,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned
ASV_60,20,1151,5.55743e-54,244,100.0,Gyrodinium,Gyrodinium rubrum,"Gyrodinium rubrum isolate BH41_139 small subunit ribosomal RNA gene, partial sequence",122,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_61,1,1154,2.63521e-58,260,100.0,Fibrocapsa,Fibrocapsa japonica,"Fibrocapsa japonica strain RCC1501 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",130,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica
ASV_62,1,5496,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium minutum strain CCAP 1119/14 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_63,1,8149,7.63031e-59,262,100.0,genus_unassigned,species_unassigned,"Uncultured haptophyte clone 905st12-6 18S ribosomal RNA gene, partial sequence",131,Eukaryota,unknown,Haptophyta,Prymnesiales,unassigned,unassigned,unassigned
ASV_64,3,1167,5.55743e-54,244,100.0,Adenoides,Adenoides eludens,"Adenoides eludens isolate BH46_57 small subunit ribosomal RNA gene, partial sequence",122,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Adenoides,Adenoides eludens
ASV_65,1,5506,3.74457e-56,252,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate ZHASHANMATOU1-37 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_66,4,1844,1.12052e-56,255,99.23,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_138, clone 1804C05",130,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_67,46,1182,6.07091e-41,197,91.41,Corycaeus,Corycaeus speciosus,"Corycaeus speciosus 18S ribosomal RNA gene, partial sequence",128,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,g_,s_
ASV_68,1,8165,4.46045e-55,248,100.0,genus_unassigned,species_unassigned,"Teleaulax amphioxeia strain CR01_LOHABE small subunit ribosomal RNA gene, partial sequence",124,Eukaryota,Cryptophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_69,1,5517,4.61251e-55,249,99.21,Minidiscus,species_unassigned,"Minidiscus sp. RCC4807 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned
ASV_70,1,1192,3.74457e-56,252,100.0,Minutocellus,Minutocellus polymorphus,"Minutocellus polymorphus gene for 18S ribosomal RNA, partial sequence, strain: NIES-3970",126,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_71,2,5523,1.70416e-34,173,89.34,Strombidinopsis,species_unassigned,"Strombidinopsis sp. isolate SC2-1(Clone 1 from isolates SC2) small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",122,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,g_,s_
ASV_72,1,8175,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone WS073.008 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_73,1,8176,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured stramenopile clone H3S3Be437 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_74,1,1204,2.69627e-45,212,93.65,Protoperidinium,Protoperidinium conicum,"Protoperidinium conicum small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_75,1,8181,1.12052e-56,255,99.23,genus_unassigned,species_unassigned,"Thysanopoda pectinata voucher E78 small subunit ribosomal RNA gene, partial sequence",130,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_76,1,8184,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Thalassiosira hendeyi gene for 18S ribosomal RNA, partial sequence, strain: NIES-3968",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_77,2,5538,2.38934e-52,239,97.64,Thalassiosira,species_unassigned,"Thalassiosira lundiana 18S ribosomal RNA gene, partial sequence",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_78,1,8196,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6000.057 18S ribosomal RNA gene, partial sequence",127,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_79,1,5544,4.27255e-49,227,96.03,Protoperidinium,species_unassigned,"Protoperidinium bipes gene for small subunit rRNA, partial sequence",126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_80,1,8206,4.87928e-23,131,81.89,genus_unassigned,species_unassigned,"Uncultured eukaryote clone WS073.012 18S ribosomal RNA gene, partial sequence",127,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_81,1,8213,2.63521e-58,260,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8900.058 18S ribosomal RNA gene, partial sequence",130,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_82,1,1225,1.08476e-56,254,100.0,Guinardia,Guinardia flaccida,"Guinardia flaccida 18S rRNA gene, clone p788",127,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_83,11,1230,3.46815e-50,230,96.8,Tripos,Tripos tenuis,"Tripos tenuis isolate MUCC248 18S ribosomal RNA gene, complete sequence",125,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,s_
ASV_84,1,8224,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYN1077 18S ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_85,1,8230,1.83197e-53,242,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST8900.110 18S ribosomal RNA gene, partial sequence",121,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_86,1,8234,3.78618e-56,252,100.0,genus_unassigned,species_unassigned,"Calanus glacialis voucher WS121 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned
ASV_87,1,8238,2.27817e-59,265,99.26,genus_unassigned,species_unassigned,"Lissomyema exilii gene for 18S rRNA, partial sequence, specimen_voucher: personal:Goto R.:GOTO_EC_22",135,Eukaryota,Annelida,Polychaeta,Echiuroidea,Echiuridae,unassigned,unassigned
ASV_88,2,1242,3.14203e-57,256,100.0,Geminigera,Geminigera cryophila,"Geminigera cryophila clone 3921 18S ribosomal RNA gene, partial sequence",128,Eukaryota,Cryptophyta,unknown,Pyrenomonadales,Geminigeraceae,Geminigera,Geminigera cryophila
ASV_89,1,1244,4.27255e-49,227,96.03,Protoperidinium,Protoperidinium crassipes,Protoperidinium crassipes gene for 18S rRNA,126,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_90,1,1248,8.94399e-72,310,100.0,Pentacheles,Pentacheles laevis,"Pentacheles laevis voucher KC6318 18S ribosomal RNA gene, partial sequence",155,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis
ASV_91,1,8256,7.63031e-59,262,100.0,genus_unassigned,species_unassigned,"Emiliania huxleyi strain UNC1419 18S ribosomal RNA gene, partial sequence",131,Eukaryota,unknown,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned
ASV_92,13,1889,4.46045e-55,248,100.0,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_101, clone 1807G02",124,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_93,1,5572,3.74457e-56,252,100.0,Prorocentrum,species_unassigned,"Prorocentrum minimum strain CCMP698 small subunit ribosomal RNA gene, partial sequence",126,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,unassigned
ASV_94,34,1263,1.83197e-53,242,100.0,Pseudotontonia,Pseudotontonia sp. JG-2011a,"Pseudotontonia sp. JG-2011a clone 46 18S ribosomal RNA gene, partial sequence",121,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,Pseudotontonia,Pseudotontonia sp. JG-2011a
ASV_95,1,1267,1.29246e-55,250,100.0,Heterosigma,Heterosigma akashiwo,"Heterosigma akashiwo strain RP02EHU 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",125,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
ASV_96,1,1272,1.29246e-55,250,100.0,Heterocapsa,Heterocapsa rotundata,"Heterocapsa rotundata strain RCC4846 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",125,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata
